strat_id,strat_name,dt,type,price,size,order_value,portfolio_value,commission,pnl
0,period20_devfactor2,2018-09-06,buy,102.75,1266,130081.5,127132.20857999992,780.489,0.0
0,period20_devfactor2,2018-09-07,buy,100.25,2,200.5,127029.56557999992,1.203,0.0
0,period20_devfactor2,2018-11-20,sell,108.08,-1268,130281.99999999999,136237.1729399999,822.27264,6763.440000000007
0,period20_devfactor2,2019-02-20,buy,107.66999999999999,1256,135233.52,135739.7718199999,811.4011200000001,0.0
0,period20_devfactor2,2019-02-21,buy,107.92,1,107.92,135211.1842999999,0.64752,0.0
0,period20_devfactor2,2019-05-03,sell,113.25,-1257,135341.44,141584.80279999992,854.1315,7013.809999999998
0,period20_devfactor2,2019-08-19,buy,118.33000000000001,1188,140576.04,145493.34655999992,843.45624,0.0
0,period20_devfactor2,2019-09-18,buy,114.5,1,114.5,138473.4995599999,0.687,0.0
0,period20_devfactor2,2019-10-31,sell,129.75,-1189,140690.54,153397.2330599999,925.6365000000001,13582.209999999988
0,period20_devfactor2,2019-11-26,buy,125.0,1218,152250.0,152483.7330599999,913.5,0.0
0,period20_devfactor2,2020-01-09,buy,126.67,1,126.67,154517.03303999992,0.76002,0.0
0,period20_devfactor2,2020-03-13,buy,100.0,1,100.0,129118.30303999991,0.6,0.0
0,period20_devfactor2,2020-06-05,sell,90.83,-1220,152476.67,110153.42743999991,664.8756,-41664.070000000014
0,period20_devfactor2,2020-07-14,buy,76.25,1434,109342.5,111103.45243999992,656.0550000000001,0.0
0,period20_devfactor2,2020-07-16,buy,74.58,2,149.16,111050.69747999992,0.89496,0.0
0,period20_devfactor2,2020-10-21,sell,75.67,-1436,109491.66,108014.96475999992,651.97272,-829.5399999999963
0,period20_devfactor2,2021-01-07,buy,83.25,1288,107226.0,114996.56875999992,643.356,0.0
0,period20_devfactor2,2021-03-16,buy,85.25,1,85.25,112421.97725999993,0.5115000000000001,0.0
0,period20_devfactor2,2021-06-10,sell,91.92,-1289,107311.25000000001,117833.81797999992,710.90928,11173.629999999994
0,period20_devfactor2,2021-07-12,buy,92.92,1259,116986.28,118176.87029999992,701.91768,0.0
0,period20_devfactor2,2021-07-14,buy,92.25,1,92.25,117132.01679999992,0.5535,0.0
0,period20_devfactor2,2021-09-06,sell,96.5,-1260,117078.53,120913.27679999993,729.5400000000001,4511.470000000008
0,period20_devfactor2,2021-12-02,buy,98.33,1221,120060.93,121523.80121999995,720.36558,0.0
0,period20_devfactor2,2021-12-03,buy,99.42,1,99.42,122231.96469999994,0.59652,0.0
0,period20_devfactor2,2022-01-14,sell,108.08000000000001,-1222,120160.35,131313.28213999997,792.44256,11913.41
0,period20_devfactor2,2022-03-01,buy,107.67,1211,130388.37,133958.08191999997,782.33022,0.0
0,period20_devfactor2,2022-03-09,buy,103.33,1,103.33,126692.63193999998,0.61998,0.0
0,period20_devfactor2,2022-04-22,sell,112.5,-1212,130491.7,135570.53193999996,818.1,5858.300000000002
0,period20_devfactor2,2022-05-25,buy,102.92000000000002,1308,134619.36000000002,133886.45577999993,807.71616,0.0
0,period20_devfactor2,2022-05-26,buy,102.25,1,102.25,134435.62227999995,0.6135,0.0
0,period20_devfactor2,2022-06-01,sell,111.17,-1309,134721.61000000002,144688.99309999996,873.12918,10799.919999999984
